customer_id,customer_name,region,segment
1,Customer_1,South,Retail
2,Customer_2,East,Wholesale
3,Customer_3,West,Corporate
4,Customer_4,West,Corporate
5,Customer_5,North,Retail
6,Customer_6,West,Retail
7,Customer_7,East,Retail
8,Customer_8,West,Corporate
9,Customer_9,North,Wholesale
10,Customer_10,North,Wholesale
11,Customer_11,East,Corporate
12,Customer_12,East,Wholesale
13,Customer_13,West,Wholesale
14,Customer_14,West,Retail
15,Customer_15,North,Corporate
16,Customer_16,West,Wholesale
17,Customer_17,North,Retail
18,Customer_18,East,Wholesale
19,Customer_19,West,Corporate
20,Customer_20,West,Wholesale
21,Customer_21,East,Retail
22,Customer_22,West,Corporate
23,Customer_23,South,Wholesale
24,Customer_24,North,Corporate
25,Customer_25,North,Retail
26,Customer_26,East,Retail
27,Customer_27,South,Corporate
28,Customer_28,West,Corporate
29,Customer_29,North,Retail
30,Customer_30,West,Corporate
31,Customer_31,East,Retail
32,Customer_32,West,Wholesale
33,Customer_33,East,Wholesale
34,Customer_34,West,Corporate
35,Customer_35,West,Retail
36,Customer_36,South,Retail
37,Customer_37,South,Retail
38,Customer_38,South,Wholesale
39,Customer_39,South,Retail
40,Customer_40,West,Wholesale
41,Customer_41,South,Corporate
42,Customer_42,East,Retail
43,Customer_43,South,Corporate
44,Customer_44,East,Wholesale
45,Customer_45,East,Retail
46,Customer_46,North,Corporate
47,Customer_47,West,Corporate
48,Customer_48,West,Corporate
49,Customer_49,North,Corporate
50,Customer_50,West,Retail
51,Customer_51,South,Retail
52,Customer_52,South,Corporate
53,Customer_53,South,Retail
54,Customer_54,East,Wholesale
55,Customer_55,North,Retail
56,Customer_56,North,Wholesale
57,Customer_57,South,Wholesale
58,Customer_58,North,Corporate
59,Customer_59,North,Retail
60,Customer_60,South,Wholesale
61,Customer_61,West,Retail
62,Customer_62,East,Corporate
63,Customer_63,East,Corporate
64,Customer_64,North,Retail
65,Customer_65,West,Corporate
66,Customer_66,West,Corporate
67,Customer_67,East,Retail
68,Customer_68,South,Retail
69,Customer_69,East,Wholesale
70,Customer_70,East,Corporate
71,Customer_71,South,Wholesale
72,Customer_72,North,Retail
73,Customer_73,East,Retail
